Cartão;Data;Descrição;Valor
Mercado Pago (final 9137);29/01/2026;PICPAY&JOAOPAULODE (02/08);57,98
Mercado Pago (final 9137);29/01/2026;PICPAY&JOAOPAULODE (02/08);223,65
